,0,1,2
32,Norbert SusemihlÂ´s Joyful Gumbo med gÃ¦ster fra New Orleans.,"Sat 3 February 2018, 8 pm.
(Entrance fee: 120/80)(nan)","Baghuset, Sct. Jacobsvej 1, Ballerup"
33,"Koppel, MÃ¸ller & Cole: Plugged.","Sat 3 February 2018, 8 pm.
(Entrance fee: 160 - 195 DKK)(nan)","PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby"
34,DR Big Band prÃ¦senterer Palle Mikkelborg - Once Upon a Time.Before.,"Sat 3 February 2018, 8 pm.
(Entrance fee: 170 - 420 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
35,Funk Delicious.,"Sat 3 February 2018, 8 pm.
(Entrance fee: Billetter 150 DKK)(nan)","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
36,Khalid.,"Sat 3 February 2018, 8 pm.
(Entrance fee: 430 DKK)(nan)","TAP1, Raffinaderivej 10, Copenhagen S"
37,Bryan Rice.,"Sat 3 February 2018, 8 pm.
(Entrance fee: 170 DKK + evt. gebyr)(nan)","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
38,Lord Huron (us).,"Sat 3 February 2018, 9 pm.
(Entrance fee: 190 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
39,CPHPHIL 60 minutes of Nikolaj NÃ¸rlund.,"Sat 3 February 2018, 9 pm.
(Entrance fee: 270-310 DKK + evt. gebyr)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
40,Gladsaxe Folkekor i Natkirken.,"Fri 24 November 2017, 9 pm.
(Free admission)(nan)","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
41,Nubiyan Twist (UK).,"Fri 24 November 2017, 9 pm.
(Entrance fee: 90 DKK)(nan)","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
42,Katinka.,"Fri 24 November 2017, 9 pm.
(Entrance fee: 140,00 DKK)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
43,Lorenzo Woodrose.,"Fri 24 November 2017, 9 pm.
(Entrance fee: 160 DKK)(nan)","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
44,Solbrud + Orm.,"Fri 24 November 2017, 9 pm.
(Entrance fee: 140 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
45,Sex Swing (uk) + Support: Tba.,"Fri 24 November 2017, 9 pm.
(Entrance fee)(nan)","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
46,Faithful Darkness (SE) + Support Caro.,"Fri 24 November 2017, 9 pm.
(Entrance fee: 95,00 DKK)(nan)","Beta, Ã˜resundsvej 6, Copenhagen S"
47,Esben Just Trio - Afskedskoncert.,"Fri 24 November 2017, 9 pm.
(Entrance fee)(nan)","Bartof Station, Solbjergvej 3, Frederiksberg"
48,Rainmen.,"Fri 24 November 2017, 9 pm  - 1 am.
(Free admission)(nan)","VÃ¦rtshuset Pinden, Reventlowsgade 4, Copenhagen V"
49,JT Lauritsen (No).,"Fri 24 November 2017, 10 pm.
(Entrance fee: 90)(nan)","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
50,Peter Brander og Rob Strong band (dk/irl).,"Fri 24 November 2017, 10 pm.
(Entrance fee: 90)(nan)","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
51,Trypical cumbia.,"Fri 24 November 2017, 10 pm  - 4 am.
(Entrance fee: 60 DKK.)(nan)","Operaen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
52,Rust Natklub.,"Fri 24 November 2017, 11 pm.
(nan)","Rust, Guldbergsgade 8, Copenhagen N"
53,Kasper Spez.,"Fri 24 November 2017, 11 pm.
(nan)","Rust, Guldbergsgade 8, Copenhagen N"
54,Satin Swing i Farum Kulturhus.,"Sat 25 November 2017, 11.30 am.
(Free admission)(nan)","Farum Kulturhus, Stavnsholtvej 3, Farum"
55,OrgelmatinÃ©.,"Sat 25 November 2017, 12 am.
(Free admission)(nan)","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
56,Tumlejazz - det' for bÃ¸rn.,"Sat 25 November 2017, 12.30 am  - 1.30 pm.
(nan)","Flintholm Kirke, Junggreensvej 14, Frederiksberg"
57,"Oilly Wallace/Zier Romme ""Super Quintet"".","Sat 25 November 2017, 2.30 pm.
(Entrance fee: 120,-(100,-))(nan)","Jazzcup, Gothersgade 107, Copenhagen K"
58,Julekoncert.,"Sat 25 November 2017, 3 pm.
(Free admission)(nan)","Glostrup Bio, BryggergÃ¥rdsvej 2, Glostrup"
59,VelgÃ¸renhedskoncert med de 3 kongelige tenorer i Sorgenfri Kirke.,"Sat 25 November 2017, 3 pm.
(Entrance fee: 150)(nan)","Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum"
60,Shiny Darkly releasekoncert pÃ¥ Loppen.,"Sat 3 February 2018, 9 pm.
(Entrance fee: 105 DKK)(nan)","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
61,Jazz Menu - ForÃ¥r 2018.,"Sun 4 February 2018, 1 pm.
(Entrance fee: 110 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
62,Kastelskirkens SÃ¸ndagskoncerter.,"Sun 4 February 2018, 2 pm.
(Free admission)(nan)","Kastelskirken, Kastellet 50, Copenhagen Ã˜"
63,SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"Sun 4 February 2018, 2 pm  - 5 pm.
(Entrance fee: 50 DKK.)(nan)","RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre"
64,BlÃ¦serdag pÃ¥ MusikhÃ¸jskolen.,"Sun 4 February 2018, 2 pm  - 6 pm.
(Free admission)(nan)","MusikhÃ¸jskolen, Smallegade 12, Frederiksberg"
65,DuruflÃ©s Requiem.,"Sun 4 February 2018, 3 pm.
(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
66,Jesper Thilo Quintet.,"Sun 4 February 2018, 3 pm.
(Entrance fee: 100,-/70,-)(nan)","SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K"
67,Koncert med Mazel Klezmer Band.,"Sun 4 February 2018, 3 pm  - 4 pm.
(nan)","SÃ¸borg Kirkes sognegÃ¥rd, FrÃ¸dings AllÃ© 2, SÃ¸borg"
68,Koncert til Kyndelmisse.,"Sun 4 February 2018, 5 pm.
(Entrance fee: 60/30)(nan)","Grundtvigs Kirke, PÃ¥ Bjerget 14B, Copenhagen NV"
69,PalÃ¦ Bar Jazz.,"Sun 4 February 2018, 5 pm  - 8 pm.
(Free admission)(nan)","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
70,Motionless In White.,"Sun 4 February 2018, 8 pm.
(Entrance fee: 225,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
71,6lack - Free 6lack Tour.,"Sun 4 February 2018, 9 pm.
(Entrance fee: 260 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
72,"Foredrag: ""Islandsk instrumentalmusik"" v. Benjamin BÃ¸gelund Bech.","Mon 5 February 2018, 7.30 pm.
(Free admission)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
73,4 prices numbered.,"Tues 6 February 2018, 2 pm.
(Entrance fee: 0 - 420 DKK)(nan)","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
74,Other Roads.,"Tues 6 February 2018, 7.30 pm.
(Entrance fee: 125 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
75,Winterreise.,"Tues 6 February 2018, 8 pm.
(Entrance fee: 90 - 165 DKK)(nan)","Det Kongelige Bibliotek/Den Sorte Diamant, SÃ¸ren Kierkegaards Plads 1, Copenhagen K"
76,The Soft Moon (us).,"Tues 6 February 2018, 8 pm.
(Entrance fee: 190 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
77,Shawn Holt & The Teardrops (US).,"Wed 7 February 2018, 10.25 am.
(Entrance fee: 140 DKK.)(nan)","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j"
78,4 prices numbered.,"Wed 7 February 2018, 2 pm.
(Entrance fee: 120 - 420 DKK)(nan)","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
79,Jam-session pÃ¥ Lipperts.,"Wed 7 February 2018, 6 pm.
(Free admission)(nan)","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
80,Jazz: Tidlige Swingorkestre.,"Wed 7 February 2018, 7 pm.
(nan)","Bibliografen, BagsvÃ¦rd Hovedgade 116 P, BagsvÃ¦rd"
81,Nikolaj Christensen: TÃ¦t pÃ¥ musikken.,"Wed 7 February 2018, 7.30 pm.
(Entrance fee: 125 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
82,Fathers & Sons: Koppel - Diallo - NordsÃ¸ - Agami.,"Wed 7 February 2018, 8 pm.
(Entrance fee: 160 - 195 DKK)(nan)","PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby"
83,Bernhoft & The Fashion Bruises.,"Wed 7 February 2018, 8 pm.
(Entrance fee: 280 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
84,4 prices numbered.,"Thur 8 February 2018, 2 pm.
(Entrance fee: 120 - 420 DKK)(nan)","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
85,Citybois.,"Thur 8 February 2018, 7 pm.
(Entrance fee: 200 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
86,Miss May I.,"Thur 8 February 2018, 7 pm.
(Entrance fee: 250,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
87,Sangaften med fremtidens stjerner pÃ¥ MGK.,"Thur 8 February 2018, 7 pm.
(Free admission)(nan)","MusikhÃ¸jskolen, Smallegade 12, Frederiksberg"
88,Koncert: RaphaÃ«lis Consort.,"Thur 8 February 2018, 7 pm  - 10 pm.
(nan)","Husum Kirke, Korsager AllÃ© 14, BrÃ¸nshÃ¸j"
89,Canellakis & Zimmermann.,"Thur 8 February 2018, 7.30 pm.
(Entrance fee: 85 - 497 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
90,'Bach to Violin'.,"Thur 8 February 2018, 7.30 pm.
(Entrance fee: 100 DKK)(nan)","Reformert Kirke, Gothersgade 111, Copenhagen K"
91,"Fastelavn ""Kom frit frem"".","Thur 8 February 2018, 7.30 pm  - 10 pm.
(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)(nan)","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
92,Alex Vargas.,"Thur 8 February 2018, 8 pm.
(Entrance fee: 290,00 dkk - 395,00 dkk)(nan)","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
93,Ole Kock Hansen A Very Big Band Feat. Marie Carmen Koppel & Benjamin Koppel.,"Thur 8 February 2018, 8 pm.
(Entrance fee: 160 - 195 DKK)(nan)","PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby"
94,Electric Guitars.,"Thur 8 February 2018, 8 pm.
(Entrance fee)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
95,Catbird.,"Thur 8 February 2018, 8 pm  - 10 pm.
(Entrance fee: 135 DKK.)(nan)","Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j"
96,SEXTILE pÃ¥ Loppen 8. februar.,"Thur 8 February 2018, 8.30 pm.
(Entrance fee: 60 DKK)(nan)","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
97,4 prices numbered.,"Fri 9 February 2018, 2 pm.
(Entrance fee: 120 - 420 DKK)(nan)","True Stories, C/o Nordisk Film, Mosedalvej 14, Valby"
98,"Jesper Thilo ""New Quintet"".","Fri 9 February 2018, 3.30 pm.
(Entrance fee: 120,-(100,-))(nan)","Jazzcup, Gothersgade 107, Copenhagen K"
99,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Fri 9 February 2018, 4 pm.
(nan)","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
100,Fredagskoncert.,"Fri 9 February 2018, 4.30 pm  - 5.30 pm.
(nan)","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
101,TÃ¦t pÃ¥ Anne Dorte og Maria.,"Fri 9 February 2018, 6 pm.
(Entrance fee)(nan)","Restaurant BellahÃ¸j, BellahÃ¸jvej 20, BrÃ¸nshÃ¸j"
102,Koppel Kornucopia.,"Fri 9 February 2018, 6 pm  & 9 pm.
(Entrance fee: 315 - 375 DKK)(nan)","Bremen Teater, Nyropsgade 39-41, Copenhagen V"
103,Burhan g.,"Fri 9 February 2018, 7 pm.
(Entrance fee: 1320,00 DKK)(nan)","Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg"
104,Dropkick Murphys.,"Fri 9 February 2018, 7 pm.
(Entrance fee: 430,00 DKK)(nan)","Valby Hallen, Julius Andersens Vej 3, Copenhagen SV"
105,Canellakis & Zimmermann.,"Fri 9 February 2018, 7.30 pm.
(Entrance fee: 85 - 497 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
106,OMD - Andy McCluskey and Paul Humphreys.,"Fri 9 February 2018, 8 pm.
(Entrance fee: 270 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
107,Ramslag Folkets Hus Spillefolk.,"Fri 9 February 2018, 8 pm.
(Entrance fee: Kr 30)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
108,Skinz (DK).,"Fri 9 February 2018, 8 pm.
(Entrance fee)(nan)","Ideal Bar, Enghavevej 40, Copenhagen V"
109,New Kids + Shadow Ray // Vinterjazz 2018.,"Fri 9 February 2018, 9 pm.
(Entrance fee: Forsalg: 50 DKK. (stud. 30 DKK.))(nan)","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
110,Heimat.,"Fri 9 February 2018, 9 pm.
(Entrance fee: 90,00 DKK)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
111,Nordiske Folketoner.,"Fri 9 February 2018, 9 pm.
(Free admission)(nan)","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
112,OrgelmatinÃ©.,"Sat 10 February 2018, 12 am.
(Free admission)(nan)","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
113,VinÃ¸s MatinÃ©.,"Sat 10 February 2018, 2 pm  - 3.30 pm.
(nan)","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
114,"Snorre Kirk ""Nordic Quintet"".","Sat 10 February 2018, 2.30 pm.
(Entrance fee: 120,-(100,-))(nan)","Jazzcup, Gothersgade 107, Copenhagen K"
115,Cannibal Corpse (US) & Black Dahlia Murder (US).,"Sat 10 February 2018, 6.30 pm.
(Entrance fee)(nan)","VEGA, Enghavevej 40, Copenhagen V"
116,Prime Is Coming.,"Sat 10 February 2018, 6.30 pm.
(Entrance fee: 100,00 DKK)(nan)","Bremen Teater, Nyropsgade 39-41, Copenhagen V"
117,Dr big band feat. Claudio Campagnol.,"Sat 10 February 2018, 8 pm.
(Entrance fee: 175 Kr.)(nan)","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
118,Aura - Can`t Steal The Music Tour.,"Sat 10 February 2018, 8 pm.
(Entrance fee: 220 - 270 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
119,Sko/Torp.,"Sat 10 February 2018, 8 pm.
(Entrance fee: 280,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
120,Marcus & Martinus - Udsolgt/venteliste.,"Sat 10 February 2018, 8 pm.
(Entrance fee: 400,00 dkk - 650,00 dkk)(nan)","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
121,Hjalmer.,"Sat 10 February 2018, 9 pm.
(Entrance fee)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
122,Malene Mortensens Supertrio.,"Sun 11 February 2018, 12 am.
(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
123,Kastelskirkens SÃ¸ndagskoncerter.,"Sun 11 February 2018, 2 pm.
(Free admission)(nan)","Kastelskirken, Kastellet 50, Copenhagen Ã˜"
124,Unge spiller klassisk - intimkoncert.,"Sun 11 February 2018, 3 pm  - 4 pm.
(Entrance fee: 50,00 DKK i DÃ¸ren)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
125,"DR Big Band prÃ¦senterer ""Jazz guld"".","Sun 11 February 2018, 4 pm.
(Entrance fee: 123 - 225 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
126,Lied-koncert.,"Sun 11 February 2018, 4 pm  - 5 pm.
(nan)","Mariendals Kirke, Nitivej 17, Frederiksberg"
127,Koncert sang orgel.,"Sun 11 February 2018, 4 pm  - 5 pm.
(nan)","VejleÃ¥ Kirke, IshÃ¸j Boulevard 1, IshÃ¸j"
128,Accept (DE).,"Sun 11 February 2018, 7.30 pm.
(Entrance fee: 250,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
129,Verdi Nights.,"Sun 11 February 2018, 7.30 pm.
(Entrance fee: 450,00 dkk - 520,00 dkk)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
130,Kygo.,"Sun 11 February 2018, 8 pm.
(Entrance fee: 350,00 dkk - 450,00 dkk)(nan)","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
131,Ghostpoet.,"Sun 11 February 2018, 8 pm.
(Entrance fee: 180 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
132,The Hunna + Coasts.,"Sun 11 February 2018, 8 pm.
(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
133,Fastelavnsjazz.,"Mon 12 February 2018, 2.30 pm  - 3.40 pm.
(nan)","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
134,Nils Frahm (de).,"Mon 12 February 2018, 8 pm.
(Entrance fee: 270 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
135,Pale Waves (UK).,"Tues 13 February 2018, 8 pm.
(Entrance fee: 135,00 DKK)(nan)","Ideal Bar, Enghavevej 40, Copenhagen V"
136,Khruangbin (us).,"Tues 13 February 2018, 8 pm.
(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
137,Poul Krebs med band.,"Tues 13 February 2018, 8 pm.
(Entrance fee: 315 - 365 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
138,August Alsina (US).,"Tues 13 February 2018, 8 pm.
(Entrance fee: 230,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
139,Open mic for RBU.,"Tues 13 February 2018, 8 pm  - 10.30 pm.
(Entrance fee: 25 DKK)(nan)","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
140,Debutkoncert - Alexander McKenzie.,"Wed 14 February 2018, 7.30 pm.
(Free admission)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
141,JhenÃ© Aiko (US).,"Wed 14 February 2018, 8 pm.
(Entrance fee: 245,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
142,KODO - One Earth Tour 2018.,"Thur 15 February 2018, 8 pm.
(Entrance fee: 340 - 450 DKK)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
143,Randy Newman - Dark Matter Tour.,"Thur 15 February 2018, 8 pm.
(Entrance fee: 470 - 545 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
144,David Besiakov Group.,"Thur 15 February 2018, 8 pm  - 10 pm.
(Entrance fee: 80kr. i forsalg - 90kr. i dÃ¸ren)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
145,Burhan G.,"Thur 15 February 2018, 9 pm.
(Entrance fee: 370 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
146,"Dorado & Amati Schmitt Quintette ""Masters of Gypsy Jazz"".","Fri 16 February 2018, 3.30 pm.
(Entrance fee: 120,-(100,-))(nan)","Jazzcup, Gothersgade 107, Copenhagen K"
147,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Fri 16 February 2018, 4 pm.
(nan)","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
148,Fredagskoncert: Orgel.,"Fri 16 February 2018, 4.30 pm  - 5.30 pm.
(nan)","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
