,0,1,2
345,Souvenirs.,"Fri 16 March 2018, 8 pm.
(Entrance fee: 130,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
346,Blondage.,"Fri 16 March 2018, 8 pm.
(Entrance fee: 175,00 DKK)(nan)","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
347,Sonja Hald.,"Fri 16 March 2018, 9 pm.
(Entrance fee: Forsalg: 70 - 90 DKK // I dÃ¸ren: 90 - 110 DKK)(nan)","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
348,SÃ¸s Fenger.,"Sat 17 March 2018, 7 pm.
(Entrance fee: 620,00 dkk - 820,00 dkk)(nan)","Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg"
349,Tonight Alive.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 245,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
350,Blues Beatles (BR).,"Sat 17 March 2018, 8 pm.
(Entrance fee: 175 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
351,Queen Machine.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 270,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
352,Det Ã…bne Hus spiller op til folkedans pÃ¥ Stades Krog 9.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 40 DKK)(nan)","Lyngby SognegÃ¥rd, Stades Krog 9, Kongens Lyngby"
353,Dobbeltkoncert: Niels Skousen og Kristina Holgersen.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 160 DKK. + Gebyr / 180 DKK. i dÃ¸ren)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
354,Andreas Bo med band - Akustisk koncert.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 175 DKK)(nan)","Herlev Teaterbio, Herlev Bygade 30, Herlev"
355,Sort Sol.,"Sat 17 March 2018, 8 pm.
(Entrance fee: 455,00 DKK)(nan)","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
356,Frank Carter & The Rattlesnakes (UK).,"Sat 17 March 2018, 9 pm.
(Entrance fee: 200,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
357,D'Angelo.,"Sat 17 March 2018, 9 pm.
(Entrance fee: 495 - 695 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
358,Tom Misch (live) (uk) - Flyttet.,"Sat 17 March 2018, 9 pm.
(Entrance fee: 175,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
359,1/2 12 Koncerter.,"Sun 18 March 2018, 11.30 am.
(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
360,Jazz Menu - ForÃ¥r 2018.,"Sun 18 March 2018, 1 pm.
(Entrance fee: 110 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
361,Musikken fra Cirkus Summarum.,"Sun 18 March 2018, 1 pm  & 3 pm.
(Entrance fee: 140 - 175 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
362,Lakha Khan.,"Sun 18 March 2018, 3 pm.
(Entrance fee: 165 DKK)(nan)","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
363,Koncert: Flamenco Requiem med Vokalgruppen Kolorit.,"Sun 18 March 2018, 3 pm  - 4.30 pm.
(nan)","Lundehus Kirke, StrÃ¸damvej 1, Copenhagen Ã˜"
364,Passionskoncert.,"Sun 18 March 2018, 4 pm.
(Entrance fee: 85 - 150 DKK)(nan)","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
365,Bach og Bibelen.,"Sun 18 March 2018, 4 pm  - 5 pm.
(nan)","Mariendals Kirke, Nitivej 17, Frederiksberg"
366,PalÃ¦ Bar Jazz.,"Sun 18 March 2018, 5 pm  - 8 pm.
(Free admission)(nan)","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
367,Ace Tee & Kwam.e (DE).,"Sun 18 March 2018, 8 pm.
(Entrance fee: 140,00 DKK)(nan)","Ideal Bar, Enghavevej 40, Copenhagen V"
368,Apocalyptica.,"Sun 18 March 2018, 8 pm.
(Entrance fee: 345 - 395 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
369,Jamie Lawson.,"Sun 18 March 2018, 8 pm.
(Entrance fee: 230 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
370,Michael Mcdonald - Udsolgt.,"Sun 18 March 2018, 8 pm.
(Entrance fee: 450,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
371,Harry Styles.,"Mon 19 March 2018, 8 pm.
(Entrance fee: 390,00 dkk - 610,00 dkk)(nan)","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
372,Skotsk Irsk Musikscene.,"Tues 20 March 2018, 7.30 pm.
(Entrance fee: 140 DKK + evt. gebyr)(nan)","Baltoppen Live, Baltorpvej 20, Ballerup"
373,Noah Gundersen (US).,"Tues 20 March 2018, 8 pm.
(Entrance fee: 170,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
374,Level 42.,"Tues 20 March 2018, 8 pm.
(Entrance fee: 370 - 470 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
375,Onsdags-jazz pÃ¥ Lipperts.,"Wed 21 March 2018, 6 pm.
(Free admission)(nan)","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
376,Passionsspil Sankt AnnÃ¦ Skole.,"Wed 21 March 2018, 7 pm  - 10 pm.
(nan)","Solvang Kirke, Remisevej 10-12, Copenhagen S"
377,"Kammermusikforeningen af 1911, Poseidon Kvartetten m. gÃ¦st.","Wed 21 March 2018, 7.30 pm.
(Entrance fee: Ikke-medlemmer 130 DKK.1)(nan)","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
378,Debutkoncert - Victor SÃ¸rensen.,"Wed 21 March 2018, 7.30 pm.
(Free admission)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
379,Esko JÃ¤rvelÃ¤ Epic Male Band.,"Wed 21 March 2018, 8 pm.
(Entrance fee: 140 DKK + evt. gebyr)(nan)","Baltoppen Live, Baltorpvej 20, Ballerup"
380,Bearcubs (uk) - Flyttet.,"Wed 21 March 2018, 8 pm.
(Entrance fee: 115,00 DKK)(nan)","Ideal Bar, Enghavevej 40, Copenhagen V"
381,Desiigner (US).,"Wed 21 March 2018, 8 pm.
(Entrance fee: 245,00 DKK)(nan)","Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K"
382,Pinegrove + special guest Phoebe Bridgers.,"Wed 21 March 2018, 8.30 pm.
(Entrance fee: 140 DKK)(nan)","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
383,Hugo Helmig (DK).,"Wed 21 March 2018, 9 pm.
(Entrance fee: 165,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
384,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Thur 22 March 2018, 7 pm  - 9 pm.
(nan)","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
385,Generalforsamling.,"Thur 22 March 2018, 7 pm  - 10 pm.
(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)(nan)","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
386,Syng Sammen Aften.,"Thur 22 March 2018, 7.30 pm.
(Free admission)(nan)","Rheumhus, Albjergparken 4, BrÃ¸ndby Strand"
387,Rose Room Dixie.,"Thur 22 March 2018, 7.30 pm.
(nan)","Jonstruphus, Jonstrupvangvej 159, VÃ¦rlÃ¸se"
388,PÃ¥skekoncert med Gospelkor.,"Thur 22 March 2018, 7.30 pm  - 8.45 pm.
(nan)","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
389,Burhan G.,"Thur 22 March 2018, 8 pm.
(Entrance fee: 370 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
390,Barbara Moleko trio.,"Thur 22 March 2018, 8 pm.
(Entrance fee)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
391,Trivium + support.,"Thur 22 March 2018, 8 pm.
(Entrance fee: 355,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
392,CPHPHIL Tre gange 1. symfoni.,"Fri 23 March 2018, 7.30 pm.
(Entrance fee: 210-410 DKK + evt. gebyr)(nan)","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
393,Scarlet Pleasure.,"Fri 23 March 2018, 8 pm.
(Entrance fee: 250 DKK)(nan)","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
394,TÃ¸rfisk.,"Fri 23 March 2018, 8 pm.
(Entrance fee: 225 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
395,Michael Falch - Solo - Udsolgt!,"Fri 23 March 2018, 8 pm.
(Entrance fee: 295,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
396,StÃ¸ttekoncert SÃ¸ren Sebber & Lune Carlsen.,"Fri 23 March 2018, 8 pm.
(nan)","Glostrup Bio, BryggergÃ¥rdsvej 2, Glostrup"
397,DR Big Band prÃ¦senterer Lisa Nilsson - Jazz og hits.,"Fri 23 March 2018, 8 pm.
(Entrance fee: 170 - 420 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
398,Whomadewho (dk).,"Fri 23 March 2018, 8 pm.
(Entrance fee: 200,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
399,Route 66 - 60'er musik - Dreamers.,"Fri 23 March 2018, 8.30 pm  - kl. 00.30.
(Entrance fee: 100/140)(nan)","EllegÃ¥rden, Stavnsholtvej 168, Farum"
400,De Danske Hyrder (DK).,"Fri 23 March 2018, 9 pm.
(Entrance fee: 165,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
401,Bach - Johannespassion.,"Sat 24 March 2018, 3 pm.
(Entrance fee: 200,00 DKK)(nan)","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
402,Koncertserien 24 - koncerter med unge talenter.,"Sat 24 March 2018, 4 pm.
(Free admission)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
403,DR Big Band prÃ¦senterer Lisa Nilsson - Jazz og hits.,"Sat 24 March 2018, 4 pm.
(Entrance fee: 170 - 420 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
404,Bachs Johannespassion med KantateKoret.,"Sat 24 March 2018, 4 pm  - 6 pm.
(Entrance fee)(nan)","Holmens Kirke, Holmens Kanal 21, Copenhagen K"
405,BjÃ¸rn EidsvÃ¥g.,"Sat 24 March 2018, 5 pm.
(Entrance fee: 265,00 DKK)(nan)","Christians Kirke, Strandgade 1, Copenhagen K"
406,Select Captain / Kajsa Vala.,"Sat 24 March 2018, 8 pm.
(Entrance fee: 125 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
407,Go Go Berlin.,"Sat 24 March 2018, 8 pm.
(Entrance fee: 220 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
408,Kesi (DK).,"Sat 24 March 2018, 8 pm.
(Entrance fee: 250,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
409,Rejjie Snow.,"Sat 24 March 2018, 9 pm.
(Entrance fee: 200 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
410,Koncert i SolgÃ¥rdens CafÃ©.,"Sun 25 March 2018, 2.30 pm.
(Free admission)(nan)","SolgÃ¥rden plejehjem, Virumvej 125, Virum"
411,Caroline Henderson.,"Sun 25 March 2018, 4 pm  & 8 pm.
(Entrance fee: 295 - 345 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
412,Passions - og pÃ¥skekoncert.,"Sun 25 March 2018, 4 pm  - 5 pm.
(nan)","HÃ¸jdevangskirken, Irlandsvej 45, Copenhagen S"
413,Bachs Johannespassion med KÃ¸benhavns Kantatekor.,"Sun 25 March 2018, 4 pm  - 6.30 pm.
(nan)","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
414,Gregory Porter - FÃ¥ Billetter.,"Sun 25 March 2018, 8 pm.
(Entrance fee: 495,00 dkk - 650,00 dkk)(nan)","Operaen, Ekvipagemestervej 10, Copenhagen K"
415,Series of Four - Khachatryan.,"Mon 26 March 2018, 7.30 pm.
(Entrance fee: 120)(nan)","Det Kongelige Danske Musikkonservatorium (DKDM), RosenÃ¸rns AllÃ© 22, Frederiksberg C"
416,Brockespassionen / Concerto Copenhagen.,"Tues 27 March 2018, 8 pm.
(Entrance fee: (EntrÃ©: DKK. 200/stud. med gyldigt Ã¥rskort DKK. 50))(nan)","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
417,Rhye.,"Tues 27 March 2018, 8 pm.
(nan)","VEGA, Enghavevej 40, Copenhagen V"
418,Editors (UK).,"Wed 28 March 2018, 8 pm.
(Entrance fee: 250,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
419,Majid Jordan.,"Wed 28 March 2018, 9 pm.
(Entrance fee: 310 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
420,Lukas-passionen.,"Thur 29 March 2018, 7.30 pm.
(Entrance fee: 60 - 407 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
421,Turboweekend.,"Thur 29 March 2018, 8 pm.
(Entrance fee: 240,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
422,Carl Emil Petersen.,"Thur 29 March 2018, 8 pm.
(Entrance fee: 250,00 DKK)(nan)","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
423,Tune-Yards (US).,"Thur 29 March 2018, 9 pm.
(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
424,Folkeklubben - En akustisk aften i Folkeklubben.,"Fri 30 March 2018, 8 pm.
(Entrance fee: 195 - 320 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
425,Carl Emil Petersen.,"Fri 30 March 2018, 8 pm.
(Entrance fee: 250,00 DKK)(nan)","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
426,Carpenter Brut.,"Fri 30 March 2018, 9 pm.
(Entrance fee: 230 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
427,De Danske Hyrder.,"Fri 30 March 2018, 9 pm.
(Entrance fee: 149 DKK + evt. gebyr)(nan)","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
428,PÃ¥skemestervÃ¦rk af Joseph Haydn.,"Sat 31 March 2018, 12.30 am  - 1.30 pm.
(nan)","Flintholm Kirke, Junggreensvej 14, Frederiksberg"
429,Dvsn.,"Sat 31 March 2018, 9 pm.
(Entrance fee: 245,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
430,Barluath.,"Tues 3 April 2018, 7.30 pm.
(Entrance fee: 140 DKK + evt. gebyr)(nan)","Baltoppen Live, Baltorpvej 20, Ballerup"
431,Julie Bergan (no) - Flyttet.,"Tues 3 April 2018, 8 pm.
(Entrance fee: 185,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
432,Jam-session pÃ¥ Lipperts.,"Wed 4 April 2018, 6 pm.
(Free admission)(nan)","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
433,Stephanie Maria (50/50 koncert).,"Wed 4 April 2018, 7.30 pm.
(Entrance fee: 55 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
434,Helene Blum Harald Haugaard Band.,"Wed 4 April 2018, 8 pm.
(Entrance fee: 140 DKK + evt. gebyr)(nan)","Baltoppen Live, Baltorpvej 20, Ballerup"
435,Ida Corr.,"Wed 4 April 2018, 8 pm.
(Entrance fee: 220 - 270 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
436,Fever ray.,"Wed 4 April 2018, 8 pm.
(nan)","VEGA, Enghavevej 40, Copenhagen V"
437,3 i 1 Koncert.,"Wed 4 April 2018, 8 pm  - 9 pm.
(nan)","Sundby Kirke, Amagerbrogade 71, Copenhagen S"
438,Patricia Petibon.,"Thur 5 April 2018, 7.30 pm.
(Entrance fee: 85 - 497 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
439,Saveus (DK).,"Thur 5 April 2018, 8 pm.
(Entrance fee: 220,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
440,Tom Paxton & The DonJuans.,"Thur 5 April 2018, 8 pm.
(Entrance fee: 250 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
441,Avatar.,"Thur 5 April 2018, 8 pm.
(Entrance fee: 205,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
442,Young Flowers - 50 Ã¥rs jubilÃ¦umsturnÃ©.,"Fri 6 April 2018, 8 pm.
(Entrance fee: 175,00 DKK)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
443,Pligten Kalder.,"Fri 6 April 2018, 8 pm.
(Entrance fee: 195 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
444,Kasper Winding.,"Fri 6 April 2018, 8 pm.
(Entrance fee: 225 DKK + evt. gebyr)(nan)","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
445,Clemens - Den Anden Verden (DK).,"Fri 6 April 2018, 9 pm.
(Entrance fee: 300,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
446,Halberg & Friends.,"Fri 6 April 2018, 9 pm.
(Entrance fee: Entre billet 200 DKK, Entre + Jazzmenu 350 DKK)(nan)","EllegÃ¥rden, Stavnsholtvej 168, Farum"
447,Jesper Binzer.,"Fri 6 April 2018, 9 pm.
(Entrance fee: 275 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
448,Ida Nielsen Med Band.,"Fri 6 April 2018, 9 pm.
(Entrance fee: 195 DKK + gebyr i forslag - 225 DKK i dÃ¸ren)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
449,Benal.,"Fri 6 April 2018, 9 pm.
(Entrance fee: 195 DKK + evt. gebyr)(nan)","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
450,Stig Rossen & Vennerne.,"Sat 7 April 2018, 1.30 pm.
(Entrance fee: unummererede 175 DKK)(nan)","Danske Seniorer, Griffenfeldsgade 58, Copenhagen N"
451,De SkÃ¸nneste Kor.,"Sat 7 April 2018, 3 pm  & 5 pm.
(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
452,"Riel/pasborg ""universe"" Feat. Annisette, Jobarteh M.fl.","Sat 7 April 2018, 8 pm.
(Entrance fee: 295 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
453,Persefone (AD).,"Sat 7 April 2018, 9 pm.
(Entrance fee: 175,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
454,The van.,"Sat 7 April 2018, 9 pm.
(Entrance fee: 160,00 DKK)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
455,Miss Sway.,"Sun 8 April 2018, 12 am.
(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
456,Jazz Menu - ForÃ¥r 2018.,"Sun 8 April 2018, 1 pm.
(Entrance fee: 110 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
457,SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"Sun 8 April 2018, 2 pm  - 5 pm.
(Entrance fee: 50 DKK.)(nan)","RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre"
458,Din Danske Sang.,"Sun 8 April 2018, 3 pm.
(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
459,Nulle og Verdesnorkestret.,"Sun 8 April 2018, 3 pm.
(Entrance fee: 100,-/70,-)(nan)","SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K"
460,Violin- og orgelkoncert.,"Sun 8 April 2018, 4 pm  - 5 pm.
(nan)","Mariendals Kirke, Nitivej 17, Frederiksberg"
461,Klaverduo Kolarova-Gryesten.,"Sun 8 April 2018, 4 pm  - 5.30 pm.
(nan)","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
462,PalÃ¦ Bar Jazz.,"Sun 8 April 2018, 5 pm  - 8 pm.
(Free admission)(nan)","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
463,Slick Rick.,"Mon 9 April 2018, 8 pm.
(Entrance fee: 425 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
464,The Simon & Garfunkel Story.,"Wed 11 April 2018, 7.30 pm.
(Entrance fee: 365,00 DKK)(nan)","MusikTeatret Albertslund, Bibliotekstorvet 1-3, Albertslund"
465,Ivan Pedersen & Trio.,"Wed 11 April 2018, 8 pm.
(Entrance fee: 225 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
466,Anne-marie.,"Wed 11 April 2018, 8 pm.
(Entrance fee: 220,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
467,Chris Minh Doky.,"Wed 11 April 2018, 8 pm.
(Entrance fee: 185 DKK + evt. gebyr)(nan)","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
468,Peter Broderick (US).,"Wed 11 April 2018, 8 pm.
(Entrance fee: 165,00 DKK)(nan)","Ideal Bar, Enghavevej 40, Copenhagen V"
469,Julie Berthelsen - Fra radioen til Beghusets skrÃ¥ brÃ¦dder.,"Thur 12 April 2018, 6 pm.
(Entrance fee: DKK 418,- inklusiv tapas)(nan)","Restaurant Beghuset, Strandgade 14, DragÃ¸r"
470,Charlotte Fich: TÃ¦t pÃ¥ musikken.,"Thur 12 April 2018, 7.30 pm.
(Entrance fee: 125 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
471,Den nye sangskat.,"Thur 12 April 2018, 7.30 pm  - 10 pm.
(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)(nan)","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
472,Hanne Boel.,"Thur 12 April 2018, 8 pm.
(Entrance fee: 270 DKK)(nan)","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
473,Saveus.,"Thur 12 April 2018, 8 pm.
(Entrance fee)(nan)","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
474,Benal (dk) - FÃ¥ Billetter.,"Thur 12 April 2018, 8 pm.
(Entrance fee: 225,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
475,Uffe Steen Trio og Vestbo Trio.,"Thur 12 April 2018, 8.30 pm  - 11 pm.
(Entrance fee: 120kr. + gebyr i forsalg - 130kr. i dÃ¸ren)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
476,Courtney Marie Andrews (US).,"Thur 12 April 2018, 9 pm.
(Entrance fee: 160,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
477,Macelaru & Joshua Bell.,"Fri 13 April 2018, 7.30 pm.
(Entrance fee: 85 - 497 DKK)(nan)","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
478,Ramslag Folkets Hus Spillefolk.,"Fri 13 April 2018, 8 pm.
(Entrance fee: Kr 30)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
479,Maria Montell.,"Fri 13 April 2018, 8 pm.
(Entrance fee: 195 DKK)(nan)","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j"
480,Copenhagen Latin Festival 2017.,"Sat 25 November 2017, 8 pm  - 2.30 am.
(Entrance fee: 100 DKK)(nan)","BlÃ¥gÃ¥rden, StÃ¸beriet, BlÃ¥gÃ¥rds Plads 5, Copenhagen N"
481,Rust Live.,"Sat 25 November 2017, 8.30 pm.
(nan)","Rust, Guldbergsgade 8, Copenhagen N"
482,Heidra + GenfÃ¦rd + Cruelty's Heart.,"Sat 25 November 2017, 8.30 pm.
(Entrance fee: 95,00 DKK)(nan)","Beta, Ã˜resundsvej 6, Copenhagen S"
483,Late Night Venture + The Foreign Resort + A Horrible Death To A Horrible Man.,"Sat 25 November 2017, 8.30 pm.
(Entrance fee: 70 DKK. inkl. gebyr)(nan)","Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se"
484,Get Your Gun pÃ¥ Loppen.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 95 DKK)(nan)","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
485,Jon NÃ¸rgaard.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 200,00 DKK)(nan)","Amager Bio, Ã˜resundsvej 6, Copenhagen S"
486,Milky Chance.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 230 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
487,Marvelous Mosell.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 190 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
488,Moddi (NO).,"Sat 25 November 2017, 9 pm.
(Entrance fee: 100 DKK)(nan)","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
489,"""Noche Cubana"" i RÃ¥huset m/DJ Rene.","Sat 25 November 2017, 9 pm.
(Entrance fee: 50 DKK.)(nan)","Onkel Dannys Plads, Onkel Dannys Plads 1-9, Copenhagen V"
490,Temple Of Doom PrÃ¦senterer: The Good the Bad and the Zugly+Nightfever.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 100,00 DKK)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
491,Hold KÃ¦ft Og Rap #3.,"Sat 25 November 2017, 9 pm.
(Entrance fee: 99 DKK + evt. gebyr)(nan)","ForbrÃ¦ndingen, Vognporten 11, Albertslund"
492,Single Rocks store Julefest med band efter 21:00.,"Sat 25 November 2017, 9 pm.
(Entrance fee: EntrÃ© efter kl. 21:00 100 DKK)(nan)","CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV"
493,Whole Lotta Hank - Hank Williams Evergreens.,"Sat 25 November 2017, 9 pm.
(Entrance fee)(nan)","Bartof Cafe, Nordre Fasanvej 46, Frederiksberg"
494,Trouble Cats.,"Sat 25 November 2017, 10 pm.
(Entrance fee: 80)(nan)","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
